epochs,seed,model_kind,index_symbol,start,end,epoch,train_loss,train_align_corr,train_geom_qk,train_geom_attn,val_ic,val_icir,val_mae
3,27,concat_a,^GSPC,2022-01-01,2024-12-31,2,0.0004023572189974878,,,,0.004010989010989009,0.019310969804291995,0.007746384160460941
3,27,concat_a,^GSPC,2022-01-01,2024-12-31,3,0.0003091163352576107,,,,-0.0006122448979591865,-0.0029074949831116026,0.00961142663541894
3,27,learned_tau_rope,^GSPC,2022-01-01,2024-12-31,1,-0.045759863335011565,0.46777144108611596,0.0051891152998452894,0.00015343119817759425,-0.01891679748822606,-0.07171727014292906,0.009770457050118536
3,27,learned_tau_rope,^GSPC,2022-01-01,2024-12-31,2,-0.061206515929631125,0.5006242363458129,0.07285551540961151,0.040964960179391524,0.0008948194662480404,0.003858834127297792,0.007340380995696603
3,27,learned_tau_rope,^GSPC,2022-01-01,2024-12-31,3,-0.16178221308819835,0.463056274571617,0.5861616580074152,0.5702457111669578,0.03802197802197802,0.14956146723081146,0.007319839602073258
3,27,static,^GSPC,2022-01-01,2024-12-31,1,0.008231452077981777,,,,-0.05415227629513345,-0.21301373140349633,0.03082792800925123
3,27,static,^GSPC,2022-01-01,2024-12-31,2,0.0007546548039628971,,,,-0.041295011134867665,-0.16893241241172588,0.0075631818682761
3,27,static,^GSPC,2022-01-01,2024-12-31,3,0.0004259186746991755,,,,-0.03536891679748822,-0.1449454179029046,0.008032468113954899
3,27,tau_rope,^GSPC,2022-01-01,2024-12-31,1,0.0034530790038895948,,,,-0.01662480376766091,-0.06589965742031052,0.008821036177232879
3,27,tau_rope,^GSPC,2022-01-01,2024-12-31,2,0.00039890474647220377,,,,-0.03321821036106749,-0.12607096378101645,0.007587025877639406
3,27,tau_rope,^GSPC,2022-01-01,2024-12-31,3,0.0002510873755301029,,,,-0.03384615384615384,-0.1287057914970074,0.00747630785484953
