epochs,seed,model_kind,index_symbol,start,end,epoch,train_loss,train_align_corr,val_ic,val_icir,val_mae
3,17,concat_a,^IXIC,2022-01-01,2024-12-31,1,0.004529176121282124,,-0.032864992150706436,-0.12740529831498695,0.008320647844624898
3,17,concat_a,^IXIC,2022-01-01,2024-12-31,2,0.0004978343550012909,,-0.036326530612244896,-0.15021369677802898,0.00732205775411089
3,17,concat_a,^IXIC,2022-01-01,2024-12-31,3,0.00038453862027986547,,-0.030941068165259614,-0.13482474126633404,0.007326906843147243
3,17,learned_tau_rope,^IXIC,2022-01-01,2024-12-31,1,-0.04722319624975682,0.48101884370298825,0.0347723704866562,0.13573613809064458,0.009115970374618882
3,17,learned_tau_rope,^IXIC,2022-01-01,2024-12-31,2,-0.05172438275207576,0.5193041091831299,0.033854003139717426,0.1299698187958648,0.007324123761776514
3,17,learned_tau_rope,^IXIC,2022-01-01,2024-12-31,3,-0.05261741626477868,0.5278179701360624,0.01916012558869701,0.07796390142287232,0.007603404457886891
3,17,static,^IXIC,2022-01-01,2024-12-31,1,0.0014043610616784779,,-0.060455259026687594,-0.253497013718346,0.01050264163115896
3,17,static,^IXIC,2022-01-01,2024-12-31,2,0.00038014842331545996,,-0.016475667189952907,-0.06250586107583762,0.007518966547312147
3,17,static,^IXIC,2022-01-01,2024-12-31,3,0.0002607291905184967,,-0.02095345437617717,-0.0803902901039572,0.007419719991320265
3,17,tau_rope,^IXIC,2022-01-01,2024-12-31,1,0.008958299885436697,,0.017927786499215073,0.06732084675927273,0.027701911583981664
3,17,tau_rope,^IXIC,2022-01-01,2024-12-31,2,0.0007354039278113705,,0.020494505494505492,0.07823036154644579,0.010734047747560926
3,17,tau_rope,^IXIC,2022-01-01,2024-12-31,3,0.00044649951165048836,,0.03985086342229199,0.15653012120591842,0.007339217214353084
3,27,concat_a,^IXIC,2022-01-01,2024-12-31,1,0.002107372549831199,,-0.006554160125588704,-0.025128804338032287,0.00924773409798212
3,27,concat_a,^IXIC,2022-01-01,2024-12-31,2,0.00040668684184241475,,0.004960753532182104,0.023103096975633893,0.007736561374439106
3,27,concat_a,^IXIC,2022-01-01,2024-12-31,3,0.0003113119469989189,,-0.003763903109354575,-0.01788165332549255,0.009670077776937173
3,27,learned_tau_rope,^IXIC,2022-01-01,2024-12-31,1,-0.04649124868393466,0.4803282426327011,-0.019010989010989018,-0.07218624677198314,0.009997265792035344
3,27,learned_tau_rope,^IXIC,2022-01-01,2024-12-31,2,-0.05155796146399343,0.5180056833438331,-0.026773940345368917,-0.1106148566704558,0.007377123748940124
3,27,learned_tau_rope,^IXIC,2022-01-01,2024-12-31,3,-0.052320483549288116,0.5247492754276785,-0.033932496075353216,-0.14651439608755454,0.007320426381457504
3,27,static,^IXIC,2022-01-01,2024-12-31,1,0.008231452077981777,,-0.05415227629513345,-0.21301373140349633,0.03082792800925123
3,27,static,^IXIC,2022-01-01,2024-12-31,2,0.0007546548039628971,,-0.041295011134867665,-0.16893241241172588,0.0075631818682761
3,27,static,^IXIC,2022-01-01,2024-12-31,3,0.0004259186746991755,,-0.03536891679748822,-0.1449454179029046,0.008032468113954899
3,27,tau_rope,^IXIC,2022-01-01,2024-12-31,1,0.003453451542716669,,-0.021428571428571422,-0.08229571805619115,0.008827510973155211
3,27,tau_rope,^IXIC,2022-01-01,2024-12-31,2,0.0003989064676230631,,-0.035353218210361075,-0.13306438934468495,0.007588185720734814
3,27,tau_rope,^IXIC,2022-01-01,2024-12-31,3,0.00025110159974002136,,-0.036970172684458395,-0.14032030745256527,0.00747823548310268
