epochs,seed,model_kind,date,daily_ic
3,7,static,2024-11-25,0.35
3,7,static,2024-11-26,0.2723076923076923
3,7,static,2024-11-27,-0.15307692307692308
3,7,static,2024-11-29,-0.18307692307692305
3,7,static,2024-12-02,0.11538461538461539
3,7,static,2024-12-03,-0.696923076923077
3,7,static,2024-12-04,0.17846153846153845
3,7,static,2024-12-05,-0.39615384615384613
3,7,static,2024-12-06,0.009230769230769232
3,7,static,2024-12-09,-0.014615384615384615
3,7,static,2024-12-10,-0.3253846153846154
3,7,static,2024-12-11,-0.08692307692307692
3,7,static,2024-12-12,-0.04384615384615385
3,7,static,2024-12-13,0.3353846153846154
3,7,static,2024-12-16,-0.09923076923076923
3,7,static,2024-12-17,0.11538461538461539
3,7,static,2024-12-18,-0.26692307692307693
3,7,static,2024-12-19,0.3253846153846154
3,7,static,2024-12-20,0.13538461538461538
3,7,concat_a:intensity_indexret,2024-08-05,-0.18230769230769234
3,7,concat_a:intensity_indexret,2024-08-06,-0.2684615384615385
3,7,concat_a:intensity_indexret,2024-08-07,-0.29000000000000004
3,7,concat_a:intensity_indexret,2024-08-08,-0.13538461538461538
3,7,concat_a:intensity_indexret,2024-08-09,0.6338461538461537
3,7,concat_a:intensity_indexret,2024-08-12,0.45999999999999996
3,7,concat_a:intensity_indexret,2024-08-13,0.5161538461538462
3,7,concat_a:intensity_indexret,2024-08-14,0.42000000000000004
3,7,concat_a:intensity_indexret,2024-08-15,0.19999999999999998
3,7,concat_a:intensity_indexret,2024-08-16,0.14615384615384616
3,7,concat_a:intensity_indexret,2024-08-19,0.42538461538461536
3,7,concat_a:intensity_indexret,2024-08-20,0.16846153846153847
3,7,concat_a:intensity_indexret,2024-08-21,0.2884615384615385
3,7,concat_a:intensity_indexret,2024-08-22,-0.12461538461538461
3,7,concat_a:intensity_indexret,2024-08-23,-0.36076923076923073
3,7,concat_a:intensity_indexret,2024-08-26,-0.11538461538461539
3,7,concat_a:intensity_indexret,2024-08-27,0.022307692307692306
3,7,concat_a:intensity_indexret,2024-08-28,-0.19769230769230767
3,7,concat_a:intensity_indexret,2024-08-29,-0.15999999999999998
3,7,concat_a:intensity_indexret,2024-08-30,-0.13846153846153847
3,7,concat_a:intensity_indexret,2024-09-03,0.25846153846153846
3,7,concat_a:intensity_indexret,2024-09-04,0.12538461538461537
3,7,concat_a:intensity_indexret,2024-09-05,0.19230769230769232
3,7,concat_a:intensity_indexret,2024-09-06,0.3892307692307692
3,7,concat_a:intensity_indexret,2024-09-09,0.36923076923076925
3,7,concat_a:intensity_indexret,2024-09-10,0.2069230769230769
3,7,concat_a:intensity_indexret,2024-09-11,0.3676923076923077
3,7,concat_a:intensity_indexret,2024-09-12,0.49
3,7,concat_a:intensity_indexret,2024-09-13,0.06501250360692531
3,7,concat_a:intensity_indexret,2024-09-16,-0.13999999999999999
3,7,concat_a:intensity_indexret,2024-09-17,-0.1853846153846154
3,7,concat_a:intensity_indexret,2024-09-18,0.23923076923076922
3,7,concat_a:intensity_indexret,2024-09-19,-0.28538461538461535
3,7,concat_a:intensity_indexret,2024-09-20,0.18769230769230769
3,7,concat_a:intensity_indexret,2024-09-23,0.08923076923076922
3,7,concat_a:intensity_indexret,2024-09-24,0.009999999999999998
3,7,concat_a:intensity_indexret,2024-09-25,-0.47
3,7,concat_a:intensity_indexret,2024-09-26,0.03846153846153846
3,7,concat_a:intensity_indexret,2024-09-27,-0.2453846153846154
3,7,concat_a:intensity_indexret,2024-09-30,-0.29923076923076924
3,7,concat_a:intensity_indexret,2024-10-01,-0.13538461538461538
3,7,concat_a:intensity_indexret,2024-10-02,-0.0873244870933257
3,7,concat_a:intensity_indexret,2024-10-03,0.024615384615384615
3,7,concat_a:intensity_indexret,2024-10-04,-0.05692307692307692
3,7,concat_a:intensity_indexret,2024-10-07,0.03769230769230769
3,7,concat_a:intensity_indexret,2024-10-08,0.21000000000000002
3,7,concat_a:intensity_indexret,2024-10-09,-0.036923076923076927
3,7,concat_a:intensity_indexret,2024-10-10,0.06692307692307692
3,7,concat_a:intensity_indexret,2024-10-11,0.2776923076923077
3,7,concat_a:intensity_indexret,2024-10-14,0.34615384615384615
3,7,concat_a:intensity_indexret,2024-10-15,0.27076923076923076
3,7,concat_a:intensity_indexret,2024-10-16,-0.17076923076923078
3,7,concat_a:intensity_indexret,2024-10-17,-0.30769230769230765
3,7,concat_a:intensity_indexret,2024-10-18,-0.22076923076923075
3,7,concat_a:intensity_indexret,2024-10-21,0.39076923076923076
3,7,concat_a:intensity_indexret,2024-10-22,0.14384615384615382
3,7,concat_a:intensity_indexret,2024-10-23,0.008461538461538461
3,7,concat_a:intensity_indexret,2024-10-24,0.4015384615384615
3,7,concat_a:intensity_indexret,2024-10-25,0.11502212176609862
3,7,concat_a:intensity_indexret,2024-10-28,-0.1392307692307692
3,7,concat_a:intensity_indexret,2024-10-29,0.47
3,7,concat_a:intensity_indexret,2024-10-30,0.3276923076923077
3,7,concat_a:intensity_indexret,2024-10-31,0.09153846153846153
3,7,concat_a:intensity_indexret,2024-11-01,-0.33461538461538465
3,7,concat_a:intensity_indexret,2024-11-04,-0.21461538461538462
3,7,concat_a:intensity_indexret,2024-11-05,-0.2630769230769231
3,7,concat_a:intensity_indexret,2024-11-06,-0.14153846153846153
3,7,concat_a:intensity_indexret,2024-11-07,-0.004615384615384616
3,7,concat_a:intensity_indexret,2024-11-08,0.10615384615384615
3,7,concat_a:intensity_indexret,2024-11-11,0.18
3,7,concat_a:intensity_indexret,2024-11-12,-0.3230769230769231
3,7,concat_a:intensity_indexret,2024-11-13,-0.12846153846153846
3,7,concat_a:intensity_indexret,2024-11-14,0.22615384615384618
3,7,concat_a:intensity_indexret,2024-11-15,0.4707692307692308
3,7,concat_a:intensity_indexret,2024-11-18,0.43615384615384617
