ic,icir,mae,swap_delta,gate_mean,attn_entropy,crps,pi80,pi80_width,qce,fold,pe_mode,index_symbol,test_start,test_end
0.017216117216117214,0.06240401567649614,0.007729612396425139,0.0,0.310458505844313,3.4011961969496713,0.0027256615947385036,0.8606349206349206,0.02828472934781559,0.05307936507936508,5,static,^GSPC,2022-07-05,2022-12-30
0.016300366300366305,0.051727899917048605,0.007427923204739215,0.0031171414847411807,0.36851230715948435,3.4011965870478797,0.0031341237888952334,0.920952380952381,0.03563705595003234,0.10647619047619047,5,concat_a,^GSPC,2022-07-05,2022-12-30
-0.015463980463980462,-0.052645349031188095,0.0074789257774759,0.00015026382865413786,0.34570666873265826,3.401195532859318,0.0029910396766250156,0.8415873015873016,0.03764005656161952,0.08793650793650795,5,flow_pe,^GSPC,2022-07-05,2022-12-30
0.048070818070818075,0.16771296746866282,0.00860356352710043,0.0,0.246186854498727,3.4011955137101433,0.0028994308295290146,0.7425396825396825,0.024535990075932608,0.1158095238095238,6,static,^GSPC,2023-01-03,2023-07-05
-0.052936507936507934,-0.20209962140122653,0.0071392297761085155,0.0018901386496330064,0.23097631091636325,3.4011965726670765,0.002614784678555138,0.8504761904761905,0.02680983502240408,0.0316825396825397,6,concat_a,^GSPC,2023-01-03,2023-07-05
0.02163003663003663,0.0836191685994661,0.00772645863454257,0.0035929063423758463,0.29904124231565565,3.40118463871971,0.002764613056437127,0.9365079365079365,0.036839025662768456,0.04571428571428569,6,flow_pe,^GSPC,2023-01-03,2023-07-05
-0.006080586080586084,-0.02503587682089051,0.006638380013711347,0.0,0.30189992985082054,3.401194777715774,0.002362053764980316,0.8749206349206349,0.026057047301105092,0.049269841269841255,7,static,^GSPC,2023-07-06,2024-01-03
0.025506715506715513,0.11155092255408088,0.006899550954932483,0.002363037606257768,0.4035546606116825,3.4011965650982328,0.0026624578247512027,0.7282539682539683,0.02457669294483605,0.12774603174603177,7,concat_a,^GSPC,2023-07-06,2024-01-03
-0.014877899877899873,-0.06551631284225949,0.009681242964667209,0.0004386495766303842,0.3068912758902898,3.4011946902199397,0.002940405689157723,0.9311111111111111,0.03199935677387412,0.18114285714285713,7,flow_pe,^GSPC,2023-07-06,2024-01-03
-0.010952380952380962,-0.040228982566389,0.008015169925598413,0.0,0.31962143780693175,3.401196021503872,0.0029052334808604054,0.8685714285714285,0.029653106917228018,0.07987301587301586,8,static,^GSPC,2024-01-04,2024-07-05
-0.0001343101343101357,-0.0005135041700447496,0.007668895179895622,0.0015810132310504004,0.45748807898589544,3.401195801401895,0.003730218729654711,0.9726984126984127,0.05086816848861793,0.1441904761904762,8,concat_a,^GSPC,2024-01-04,2024-07-05
-0.03424908424908425,-0.12844125159794345,0.010062861692798011,0.0001028456621699863,0.3930863786027545,3.401196414402553,0.0046453360953767385,0.8387301587301588,0.07045188581659681,0.20215873015873012,8,flow_pe,^GSPC,2024-01-04,2024-07-05
